Shazam Library,,,,,
Index,TagTime,Title,Artist,URL,TrackKey
1,2024-09-07,Horovel,Voices Of Artsakh,https://www.shazam.com/track/414838640/horovel,414838640
2,2024-09-07,Sharan,Voices Of Artsakh,https://www.shazam.com/track/493414732/sharan,493414732
3,2024-09-07,De Ase,Voices Of Artsakh,https://www.shazam.com/track/455427932/de-ase,455427932
4,2024-08-20,Ты и Я,Xcho,https://www.shazam.com/track/603763501/%D1%82%D1%8B-%D0%B8-%D1%8F,603763501
5,2024-08-20,Lose Control (Live),Teddy Swims & Freak Freely,https://www.shazam.com/track/670290662/lose-control-live,670290662
6,2024-08-19,Du Es Linelu,Anette Aghabekyan,https://www.shazam.com/track/609609858/du-es-linelu,609609858
7,2024-08-18,Tun Tareq (feat. Artem Valter),Lyoka,https://www.shazam.com/track/498815502/tun-tareq-feat-artem-valter,498815502
8,2024-08-18,Verev Em Tanum (feat. Sur),Feka 23,https://www.shazam.com/track/661159593/verev-em-tanum-feat-sur,661159593
9,2024-08-18,Irar Sirenq,Arshavir Martirosyan,https://www.shazam.com/track/672183274/irar-sirenq,672183274
10,2024-08-18,Sulum Em Sulum,Арам Асатрян,https://www.shazam.com/track/45416758/sulum-em-sulum,45416758
11,2024-08-18,Deghin Terevner,Tata Simonyan,https://www.shazam.com/track/92619481/deghin-terevner,92619481
12,2024-08-18,Chanaparh,Tata Simonyan,https://www.shazam.com/track/92621266/chanaparh,92621266
13,2024-08-18,Fayton,Tata Simonyan,https://www.shazam.com/track/49011363/fayton,49011363
14,2024-08-18,Miayn Du Chtkhres (Im Taparakan),Vahag Rush,https://www.shazam.com/track/624899490/miayn-du-chtkhres-im-taparakan,624899490
15,2024-08-18,Ari Im Sokhag (feat. Larisa Ryan),Serj Tankian,https://www.shazam.com/track/313579185/ari-im-sokhag-feat-larisa-ryan,313579185
16,2024-08-18,Holiday Nostalgia,Brunette,https://www.shazam.com/track/676368330/holiday-nostalgia,676368330
17,2024-08-18,6.3,Xcho,https://www.shazam.com/track/710631000/6-3,710631000
